0,1,1,0,A,0
0,2,1,0,A,0
0,4,0,0,A,0
0,1,1,0,S,0
5,1,1,0,F,0
5,2,1,0,S,0
10,2,1,0,F,0
10,4,0,0,S,0
15,4,0,0,FINAL,0
15,1,1,0,S,0
20,1,1,0,F,0
20,2,1,0,S,0
25,2,1,0,F,0
25,1,1,0,S,0
30,1,1,0,F,0
30,2,1,0,S,0
35,2,1,0,D,0
35,2,1,0,F,0
35,1,1,0,S,0
40,1,1,0,FINAL,0
40,2,1,0,S,0
45,2,1,0,F,0
45,2,1,0,S,0
50,2,1,0,FINAL,0
50,1,1,0,D,0
50,1,2,0,A,0
50,3,0,0,A,0
50,1,2,0,S,0
55,1,2,0,F,0
55,3,0,0,S,0
60,3,0,0,F,0
60,1,2,0,S,0
65,1,1,0,D,0
65,1,2,0,F,0
65,3,0,0,S,0
70,2,1,0,D,0
70,3,0,0,F,0
70,1,2,0,S,0
75,1,2,0,F,0
75,3,0,0,S,0
80,3,0,0,F,0
80,1,2,0,S,0
85,1,2,0,FINAL,0
85,3,0,0,S,0
90,3,0,0,FINAL,0
100,1,2,0,D,0
